year,month,rsp,tier,service,subs
2021,4,Highland,W09,Cambium Wireless 20/5mbps,200
2021,4,Methownet.com,W09,Cambium Wireless 20/5mbps,21
2021,4,NCI Datacom,W09,Cambium Wireless 20/5mbps,94
2021,4,PC Telecom,W09,Cambium Wireless 20/5mbps,6
2021,4,Will Connect,W09,Cambium Wireless 20/5mbps,83
2021,4,CommunityNET,W71,Broadband Wireless 3/1Mbps,7
2021,4,Highland,W71,Broadband Wireless 3/1Mbps,63
2021,4,Methownet.com,W71,Broadband Wireless 3/1Mbps,14
2021,4,NCI Datacom,W71,Broadband Wireless 3/1Mbps,18
2021,4,PC Telecom,W71,Broadband Wireless 3/1Mbps,6
2021,4,Will Connect,W71,Broadband Wireless 3/1Mbps,6
2021,4,CommunityNET,W75,Broadband Wireless 7/3mbps,13
2021,4,Highland,W75,Broadband Wireless 7/3mbps,123
2021,4,Methownet.com,W75,Broadband Wireless 7/3mbps,15
2021,4,NCI Datacom,W75,Broadband Wireless 7/3mbps,38
2021,4,PC Telecom,W75,Broadband Wireless 7/3mbps,7
2021,4,Will Connect,W75,Broadband Wireless 7/3mbps,11
2021,4,BHPcom,W76,Broadband Wireless 12/6mbps,2
2021,4,CommunityNET,W76,Broadband Wireless 12/6mbps,20
2021,4,Highland,W76,Broadband Wireless 12/6mbps,68
2021,4,Methownet.com,W76,Broadband Wireless 12/6mbps,4
2021,4,NCI Datacom,W76,Broadband Wireless 12/6mbps,15
2021,4,PC Telecom,W76,Broadband Wireless 12/6mbps,1
2021,4,Will Connect,W76,Broadband Wireless 12/6mbps,5
2021,4,BHPcom,W77,Broadband Wireless 20/10mbps,5
2021,4,CommunityNET,W77,Broadband Wireless 20/10mbps,23
2021,4,Highland,W77,Broadband Wireless 20/10mbps,53
2021,4,Methownet.com,W77,Broadband Wireless 20/10mbps,3
2021,4,NCI Datacom,W77,Broadband Wireless 20/10mbps,22
2021,4,PC Telecom,W77,Broadband Wireless 20/10mbps,1
2021,4,Will Connect,W77,Broadband Wireless 20/10mbps,12
2021,5,CommunityNET,W06,Cambium Wireless 3/1mbps,50
2021,5,Highland,W06,Cambium Wireless 3/1mbps,91
2021,5,Methownet.com,W06,Cambium Wireless 3/1mbps,145
2021,5,NCI Datacom,W06,Cambium Wireless 3/1mbps,101
2021,5,PC Telecom,W06,Cambium Wireless 3/1mbps,52
2021,5,Will Connect,W06,Cambium Wireless 3/1mbps,10
2021,5,BHPcom,W07,Cambium Wireless 7/2mbps,3
2021,5,CommunityNET,W07,Cambium Wireless 7/2mbps,110
2021,5,Highland,W07,Cambium Wireless 7/2mbps,341
2021,5,Methownet.com,W07,Cambium Wireless 7/2mbps,125
2021,5,NCI Datacom,W07,Cambium Wireless 7/2mbps,243
2021,5,PC Telecom,W07,Cambium Wireless 7/2mbps,38
2021,5,Will Connect,W07,Cambium Wireless 7/2mbps,35
2021,5,BHPcom,W08,Cambium Wireless 12/3mbps,7
2021,5,CommunityNET,W08,Cambium Wireless 12/3mbps,201
2021,5,Highland,W08,Cambium Wireless 12/3mbps,178
2021,5,Methownet.com,W08,Cambium Wireless 12/3mbps,33
2021,5,NCI Datacom,W08,Cambium Wireless 12/3mbps,132
2021,5,PC Telecom,W08,Cambium Wireless 12/3mbps,13
2021,5,Will Connect,W08,Cambium Wireless 12/3mbps,25
2021,5,BHPcom,W09,Cambium Wireless 20/5mbps,9
2021,5,CommunityNET,W09,Cambium Wireless 20/5mbps,208
2021,5,Highland,W09,Cambium Wireless 20/5mbps,218
2021,5,Methownet.com,W09,Cambium Wireless 20/5mbps,22
2021,5,NCI Datacom,W09,Cambium Wireless 20/5mbps,96
2021,5,PC Telecom,W09,Cambium Wireless 20/5mbps,6
2021,5,Will Connect,W09,Cambium Wireless 20/5mbps,86
2021,5,CommunityNET,W71,Broadband Wireless 3/1Mbps,6
2021,5,Highland,W71,Broadband Wireless 3/1Mbps,59
2021,5,Methownet.com,W71,Broadband Wireless 3/1Mbps,12
2021,5,NCI Datacom,W71,Broadband Wireless 3/1Mbps,18
2021,5,PC Telecom,W71,Broadband Wireless 3/1Mbps,4
2021,5,Will Connect,W71,Broadband Wireless 3/1Mbps,5
2021,5,CommunityNET,W75,Broadband Wireless 7/3mbps,11
2021,5,Highland,W75,Broadband Wireless 7/3mbps,109
2021,5,Methownet.com,W75,Broadband Wireless 7/3mbps,14
2021,5,NCI Datacom,W75,Broadband Wireless 7/3mbps,37
2021,5,PC Telecom,W75,Broadband Wireless 7/3mbps,7
2021,5,Will Connect,W75,Broadband Wireless 7/3mbps,10
2021,5,BHPcom,W76,Broadband Wireless 12/6mbps,2
2021,5,CommunityNET,W76,Broadband Wireless 12/6mbps,17
2021,5,Highland,W76,Broadband Wireless 12/6mbps,61
2021,5,Methownet.com,W76,Broadband Wireless 12/6mbps,4
2021,5,NCI Datacom,W76,Broadband Wireless 12/6mbps,13
2021,5,PC Telecom,W76,Broadband Wireless 12/6mbps,1
2021,5,Will Connect,W76,Broadband Wireless 12/6mbps,5
2021,5,BHPcom,W77,Broadband Wireless 20/10mbps,5
2021,5,CommunityNET,W77,Broadband Wireless 20/10mbps,25
